Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,BLK-2025-100001,10/28/2025,10/28/2025,Instant (10-15 min),CUST-11115,Sanjay Verma,Regular Household,India,Gurugram,Delhi,134518,North,GRO-AT-78115,Grocery & Staples,"Atta, Rice & Dals",India Gate Basmati Rice 5kg,558.75,2,0.1,-8.42
2,BLK-2025-100001,10/28/2025,10/28/2025,Instant (10-15 min),CUST-11115,Sanjay Verma,Regular Household,India,Gurugram,Delhi,167204,North,GRO-MA-94548,Grocery & Staples,Masala & Spices,MDH Garam Masala 100g,72.22,1,0.3,-8.59
3,BLK-2025-100001,10/28/2025,10/28/2025,Instant (10-15 min),CUST-11115,Sanjay Verma,Regular Household,India,Gurugram,Delhi,373058,North,SNA-SO-61683,Snacks & Beverages,Soft Drinks & Juices,Real Fruit Juice Mixed 1L,72.42,1,0.0,11.8
4,BLK-2025-100002,03/27/2025,03/27/2025,Instant (10-15 min),CUST-11773,Riya Banerjee,Working Professional,India,Pune,Maharashtra,303378,West,DAI-MI-25360,Dairy & Breakfast,Milk & Curd,Nandini Milk 500ml,252.53,2,0.0,16.98
5,BLK-2025-100002,03/27/2025,03/27/2025,Instant (10-15 min),CUST-11773,Riya Banerjee,Working Professional,India,Pune,Maharashtra,518569,West,SNA-CH-44813,Snacks & Beverages,Chips & Namkeen,Lay's Classic Salted 52g,77.21,1,0.1,3.39
6,BLK-2025-100002,03/27/2025,03/27/2025,Instant (10-15 min),CUST-11773,Riya Banerjee,Working Professional,India,Pune,Maharashtra,302551,West,HOM-CL-53579,Home & Cleaning,Cleaning Supplies,Colin Glass Cleaner 500ml,1361.5,2,0.05,85.63
7,BLK-2025-100002,03/27/2025,03/27/2025,Instant (10-15 min),CUST-11773,Riya Banerjee,Working Professional,India,Pune,Maharashtra,421016,West,DAI-MI-93720,Dairy & Breakfast,Milk & Curd,Amul Taaza 1L,166.14,1,0.3,-27.42
8,BLK-2025-100003,10/10/2025,10/10/2025,Instant (10-15 min),CUST-10351,Krishna Singh,Bulk/Office Buyer,India,New Delhi,Delhi,419583,North,SNA-CH-67813,Snacks & Beverages,Chips & Namkeen,Lay's Classic Salted 52g,127.18,1,0.3,-10.43
9,BLK-2025-100003,10/10/2025,10/10/2025,Instant (10-15 min),CUST-10351,Krishna Singh,Bulk/Office Buyer,India,New Delhi,Delhi,239541,North,SNA-SO-60656,Snacks & Beverages,Soft Drinks & Juices,Tropicana Orange 1L,35.24,1,0.1,0.32
10,BLK-2023-100004,02/25/2023,02/25/2023,Instant (10-15 min),CUST-10206,Ananya Gupta,Working Professional,India,Nashik,Maharashtra,200280,West,BAB-DI-47867,Baby Care,Diapers & Wipes,Mee Mee Baby Wipes 72pc,2070.94,2,0.15,-21.2
11,BLK-2023-100004,02/25/2023,02/25/2023,Instant (10-15 min),CUST-10206,Ananya Gupta,Working Professional,India,Nashik,Maharashtra,131470,West,BAB-BA-18232,Baby Care,Baby Food,Cerelac Wheat 300g,656.82,3,0.3,-42.39
12,BLK-2023-100004,02/25/2023,02/25/2023,Instant (10-15 min),CUST-10206,Ananya Gupta,Working Professional,India,Nashik,Maharashtra,579132,West,GRO-ED-96314,Grocery & Staples,Edible Oils & Ghee,Dhara Refined Oil 1L,1573.05,3,0.1,-61.94
13,BLK-2023-100004,02/25/2023,02/25/2023,Instant (10-15 min),CUST-10206,Ananya Gupta,Working Professional,India,Nashik,Maharashtra,368102,West,FRU-FR-48321,Fruits & Vegetables,Fresh Vegetables,Tomato 1kg,97.37,1,0.05,1.15
14,BLK-2024-100005,11/15/2024,11/15/2024,Instant (10-15 min),CUST-11433,Diya Singh,Regular Household,India,Gurugram,Delhi,301097,North,GRO-MA-50994,Grocery & Staples,Masala & Spices,MDH Garam Masala 100g,24.69,1,0.15,-0.1
15,BLK-2025-100006,12/31/2025,12/31/2025,Express (30-60 min),CUST-10563,Zoya Agarwal,Regular Household,India,Kochi,Kerala,254873,South,PER-OR-11231,Personal Care,Oral & Bath Care,Lifebuoy Soap Pack of 3,1153.72,2,0.1,36.95
16,BLK-2025-100006,12/31/2025,12/31/2025,Express (30-60 min),CUST-10563,Zoya Agarwal,Regular Household,India,Kochi,Kerala,540128,South,PER-SK-20360,Personal Care,Skin & Hair Care,Himalaya Face Wash 100ml,318.86,2,0.1,65.09
17,BLK-2023-100007,05/18/2023,05/18/2023,Instant (10-15 min),CUST-10840,Yash Sharma,Regular Household,India,Hyderabad,Telangana,567367,South,DAI-MI-77386,Dairy & Breakfast,Milk & Curd,Amul Toned Milk 1L,286.73,5,0.0,16.05
18,BLK-2025-100008,04/24/2025,04/24/2025,Instant (10-15 min),CUST-11150,Saanvi Gupta,Regular Household,India,Gurugram,Delhi,459903,North,GRO-AT-86835,Grocery & Staples,"Atta, Rice & Dals",Daawat Rozana Rice 5kg,258.23,1,0.3,-45.63
19,BLK-2023-100009,03/11/2023,03/11/2023,Express (30-60 min),CUST-10252,Saanvi Menon,Regular Household,India,Pune,Maharashtra,356791,West,FRU-FR-31593,Fruits & Vegetables,Fresh Fruits,Pomegranate 1kg,139.38,1,0.1,-7.86
20,BLK-2023-100009,03/11/2023,03/11/2023,Express (30-60 min),CUST-10252,Saanvi Menon,Regular Household,India,Pune,Maharashtra,128829,West,FRU-FR-76651,Fruits & Vegetables,Fresh Vegetables,Mixed Vegetable Combo 2kg,204.65,1,0.1,-19.45
21,BLK-2025-100010,11/22/2025,11/22/2025,Instant (10-15 min),CUST-11633,Divya Chopra,Regular Household,India,Jaipur,Rajasthan,129641,North,DAI-BR-25959,Dairy & Breakfast,Bread & Eggs,Farm Eggs 6pc,151.17,1,0.05,-2.84
22,BLK-2024-100011,07/04/2024,07/04/2024,Scheduled Slot,CUST-10465,Amit Chopra,Working Professional,India,Gurugram,Delhi,201671,North,DAI-MI-36422,Dairy & Breakfast,Milk & Curd,Mother Dairy Curd 400g,178.08,1,0.0,5.28
23,BLK-2024-100011,07/04/2024,07/04/2024,Scheduled Slot,CUST-10465,Amit Chopra,Working Professional,India,Gurugram,Delhi,272833,North,PER-SK-93459,Personal Care,Skin & Hair Care,Patanjali Aloe Vera Gel 150ml,3599.92,3,0.0,1187.21
24,BLK-2025-100012,03/06/2025,03/06/2025,Instant (10-15 min),CUST-10904,Vihaan Rao,Regular Household,India,Mysuru,Karnataka,173473,South,FRU-FR-57927,Fruits & Vegetables,Fresh Fruits,Papaya 1pc,1497.57,5,0.2,-260.66
25,BLK-2023-100013,03/25/2023,03/25/2023,Express (30-60 min),CUST-10973,Krishna Pillai,Regular Household,India,New Delhi,Delhi,253242,North,FRU-FR-42639,Fruits & Vegetables,Fresh Vegetables,Spinach Bunch 250g,19.63,1,0.05,-0.81
26,BLK-2023-100013,03/25/2023,03/25/2023,Express (30-60 min),CUST-10973,Krishna Pillai,Regular Household,India,New Delhi,Delhi,164356,North,GRO-AT-72979,Grocery & Staples,"Atta, Rice & Dals",India Gate Basmati Rice 5kg,541.29,3,0.15,-28.66
27,BLK-2023-100013,03/25/2023,03/25/2023,Express (30-60 min),CUST-10973,Krishna Pillai,Regular Household,India,New Delhi,Delhi,274811,North,FRU-FR-17841,Fruits & Vegetables,Fresh Fruits,Mango Alphonso 1kg,168.69,1,0.05,-1.23
28,BLK-2023-100014,12/25/2023,12/26/2023,Scheduled Slot,CUST-10204,Yash Sharma,Regular Household,India,Gurugram,Delhi,388678,North,PET-PE-37480,Pet Care,Pet Food & Accessories,Drools Puppy Food 1kg,1226.45,1,0.0,123.7
29,BLK-2023-100014,12/25/2023,12/26/2023,Scheduled Slot,CUST-10204,Yash Sharma,Regular Household,India,Gurugram,Delhi,267596,North,DAI-MI-59239,Dairy & Breakfast,Milk & Curd,Nandini Milk 500ml,79.67,1,0.15,-4.56
30,BLK-2025-100015,10/15/2025,10/15/2025,Scheduled Slot,CUST-11539,Rohan Nair,Working Professional,India,Ahmedabad,Gujarat,428628,West,FRU-FR-20257,Fruits & Vegetables,Fresh Vegetables,Potato 1kg,222.71,1,0.1,-15.87
31,BLK-2023-100016,04/16/2023,04/16/2023,Instant (10-15 min),CUST-11715,Karan Khan,Regular Household,India,Hyderabad,Telangana,551164,South,HOM-CL-12524,Home & Cleaning,Cleaning Supplies,Surf Excel 1kg,51.97,1,0.0,11.8
32,BLK-2024-100017,05/04/2024,05/04/2024,Instant (10-15 min),CUST-10988,Yash Reddy,Working Professional,India,Kolkata,West Bengal,308220,East,FRU-FR-56278,Fruits & Vegetables,Fresh Fruits,Mango Alphonso 1kg,656.5,2,0.2,-142.57
33,BLK-2024-100017,05/04/2024,05/04/2024,Instant (10-15 min),CUST-10988,Yash Reddy,Working Professional,India,Kolkata,West Bengal,118168,East,FRU-FR-63999,Fruits & Vegetables,Fresh Vegetables,Tomato 1kg,1247.83,5,0.1,-125.49
34,BLK-2024-100017,05/04/2024,05/04/2024,Instant (10-15 min),CUST-10988,Yash Reddy,Working Professional,India,Kolkata,West Bengal,473767,East,HOM-CL-15360,Home & Cleaning,Cleaning Supplies,Colin Glass Cleaner 500ml,553.88,1,0.05,92.23
35,BLK-2024-100017,05/04/2024,05/04/2024,Instant (10-15 min),CUST-10988,Yash Reddy,Working Professional,India,Kolkata,West Bengal,199367,East,PER-SK-70112,Personal Care,Skin & Hair Care,Nivea Body Lotion 200ml,527.55,1,0.2,-8.33
36,BLK-2024-100018,02/28/2024,02/28/2024,Express (30-60 min),CUST-11518,Ayesha Singh,Regular Household,India,New Delhi,Delhi,359399,North,FRU-FR-54609,Fruits & Vegetables,Fresh Fruits,Mango Alphonso 1kg,163.94,4,0.3,-50.42
37,BLK-2025-100019,10/11/2025,10/11/2025,Express (30-60 min),CUST-11258,Priya Joshi,Regular Household,India,Chandigarh,Punjab,470362,North,BAB-DI-61535,Baby Care,Diapers & Wipes,Huggies Wonder Pants L (36pc),653.47,1,0.3,-106.58
38,BLK-2023-100020,03/30/2023,03/30/2023,Instant (10-15 min),CUST-10418,Ayesha Singh,Regular Household,India,Kolkata,West Bengal,498843,East,PER-SK-28170,Personal Care,Skin & Hair Care,Himalaya Face Wash 100ml,611.62,2,0.0,117.95
39,BLK-2023-100021,07/27/2023,07/27/2023,Express (30-60 min),CUST-11402,Krishna Rao,Working Professional,India,Kolkata,West Bengal,370673,East,SNA-CH-23081,Snacks & Beverages,Chips & Namkeen,Haldiram's Aloo Bhujia 200g,354.63,3,0.05,41.48
40,BLK-2023-100021,07/27/2023,07/27/2023,Express (30-60 min),CUST-11402,Krishna Rao,Working Professional,India,Kolkata,West Bengal,240056,East,HOM-KI-34263,Home & Cleaning,Kitchen & Dining,Borosil Glass Set 6pc,2069.18,4,0.05,296.87
41,BLK-2025-100022,10/27/2025,10/27/2025,Scheduled Slot,CUST-11730,Riya Pillai,Working Professional,India,New Delhi,Delhi,132054,North,BAB-DI-12142,Baby Care,Diapers & Wipes,Mee Mee Baby Wipes 72pc,2552.89,2,0.15,-65.62
42,BLK-2025-100022,10/27/2025,10/27/2025,Scheduled Slot,CUST-11730,Riya Pillai,Working Professional,India,New Delhi,Delhi,265740,North,BAB-BA-37891,Baby Care,Baby Food,Cerelac Wheat 300g,427.51,1,0.0,53.32
43,BLK-2023-100023,06/10/2023,06/10/2023,Express (30-60 min),CUST-11500,Fatima Chopra,Working Professional,India,Kolkata,West Bengal,276165,East,DAI-MI-67806,Dairy & Breakfast,Milk & Curd,Amul Taaza 1L,210.97,2,0.0,10.08
44,BLK-2025-100024,06/29/2025,06/29/2025,Instant (10-15 min),CUST-10780,Ananya Patel,Regular Household,India,New Delhi,Delhi,533192,North,GRO-AT-61058,Grocery & Staples,"Atta, Rice & Dals",Fortune Chakki Atta 10kg,1108.05,3,0.15,-56.21
45,BLK-2024-100025,06/01/2024,06/02/2024,Scheduled Slot,CUST-10110,Reyansh Menon,Bulk/Office Buyer,India,New Delhi,Delhi,513513,North,DAI-BR-16363,Dairy & Breakfast,Bread & Eggs,Farm Eggs 6pc,97.13,2,0.05,-1.47
